t  [s],Delta_t  [s],z_wf  [m],phi_wf  [rad],theta_wf  [rad],zeta  [m]
0.000000e+00,2.000000e-01,4.337722e-01,-3.291786e-02,2.073551e-02,8.069960e-01
0.2,0.2,0.2372881,-0.03375476,0.0265208,0.5306677
0.4,0.2,0.03264875,-0.0337641,0.03169986,0.1940152
0.6,0.2,-0.1742133,-0.03294399,0.03610191,-0.1996967
0.8,0.2,-0.377338,-0.03131208,0.03957539,-0.6233849
1.0,0.2,-0.5709391,-0.02890607,0.0419935,-1.033339
1.2,0.2,-0.7495987,-0.0257832,0.04325934,-1.383121
1.4,0.2,-0.9084416,-0.0220187,0.04331023,-1.638689
1.6,0.2,-1.043276,-0.01770332,0.04212092,-1.788844
1.8,0.2,-1.150696,-0.01294043,0.03970542,-1.847093
2.0,0.2,-1.228145,-0.007843066,0.03611732,-1.844421
2.2,0.2,-1.273941,-0.002531406,0.03144877,-1.815977
2.4,0.2,-1.287285,0.002869415,0.02582807,-1.786972
2.6,0.2,-1.268244,0.008231141,0.01941615,-1.763235
2.8,0.2,-1.217727,0.01342433,0.01240192,-1.729993
3.0,0.2,-1.137446,0.0183207,0.004996422,-1.65921
3.2,0.2,-1.02986,0.02279609,-0.002574126,-1.522435
3.4,0.2,-0.8980985,0.0267342,-0.0100765,-1.303976
3.6,0.2,-0.7458639,0.03003074,-0.01727951,-1.00915
3.8,0.2,-0.5773113,0.03259774,-0.02396334,-0.6643767
4.0,0.2,-0.3969148,0.0343675,-0.02992869,-0.3091721
4.2,0.2,-0.2093278,0.03529566,-0.03500469,0.01672675
4.4,0.2,-0.01924494,0.03536308,-0.03905506,0.2860682
4.6,0.2,0.1687284,0.03457622,-0.04198213,0.4918152
4.8,0.2,0.350197,0.03296605,-0.04372851,0.6471395
5.0,0.2,0.5210862,0.03058566,-0.04427677,0.7779512
5.2,0.2,0.6777408,0.0275068,-0.04364748,0.9110442
5.4,0.2,0.8170114,0.02381574,-0.04189612,1.062513
5.6,0.2,0.9363225,0.01960897,-0.03910924,1.230866
5.8,0.2,1.033717,0.0149892,-0.03540016,1.39735
6.0,0.2,1.10787,0.01006203,-0.03090402,1.533158
6.2,0.2,1.158076,0.004933544,-0.02577259,1.610541
6.4,0.2,1.184199,-0.0002910648,-0.02016843,1.613423
6.6,0.2,1.186614,-0.005508101,-0.0142588,1.543451
6.8,0.2,1.166125,-0.01061552,-0.008209573,1.419328
7.0,0.2,1.123898,-0.01551309,-0.002179443,1.269939
7.2,0.2,1.061396,-0.02010292,0.003685075,1.124104
7.4,0.2,0.980331,-0.02429072,0.009253535,1.000931
7.6,0.2,0.8826284,-0.02798757,0.01441415,0.9043113
7.8,0.2,0.7703965,-0.03111233,0.01907502,0.823383
8.0,0.2,0.6458991,-0.0335941,0.02316417,0.7384421
8.2,0.2,0.5115239,-0.03537453,0.02662866,0.6297484
8.4,0.2,0.3697474,-0.0364097,0.02943301,0.4857202
8.6,0.2,0.2230981,-0.03667153,0.03155736,0.3074271
8.8,0.2,0.07412275,-0.03614871,0.03299565,0.1078989
9.0,0.2,-0.07464186,-0.03484733,0.03375393,-0.09314016
9.2,0.2,-0.2206904,-0.03279129,0.03384895,-0.2767623
9.4,0.2,-0.3615666,-0.03002247,0.03330705,-0.4314946
9.6,0.2,-0.494882,-0.02660056,0.03216317,-0.5566242
9.8,0.2,-0.6183423,-0.02260218,0.03045996,-0.6611129
10.0,0.2,-0.7297845,-0.01811906,0.0282468,-0.7588683
10.2,0.2,-0.8272264,-0.01325525,0.02557876,-0.8624789
10.4,0.2,-0.908923,-0.008123205,0.0225154,-0.9779577
10.6,0.2,-0.9734245,-0.002839389,0.01911965,-1.102436
10.8,0.2,-1.019626,0.002480245,0.01545673,-1.225422
11.0,0.2,-1.0468,0.007724153,0.01159328,-1.332757
11.2,0.2,-1.054615,0.01278798,0.007596671,-1.411403
11.4,0.2,-1.043129,0.01757595,0.003534537,-1.453054
11.6,0.2,-1.012772,0.02200101,-0.0005257163,-1.45525
11.8,0.2,-0.9643252,0.02598406,-0.004517443,-1.419939
12.0,0.2,-0.8988895,0.02945299,-0.008375445,-1.350537
12.2,0.2,-0.817867,0.03234219,-0.01203682,-1.249169
12.4,0.2,-0.7229409,0.03459294,-0.01544186,-1.115557
12.6,0.2,-0.6160595,0.03615499,-0.01853485,-0.9481253
12.8,0.2,-0.4994158,0.03698917,-0.02126468,-0.7468061
13.0,0.2,-0.3754187,0.03707056,-0.02358521,-0.5160955
13.2,0.2,-0.246652,0.03639171,-0.02545539,-0.2667438
13.4,0.2,-0.1158182,0.03496518,-0.0268395,-0.01497243
13.6,0.2,0.0143292,0.03282504,-0.02770763,0.2208113
13.8,0.2,0.1410632,0.03002685,-0.02803668,0.4247058
14.0,0.2,0.2617644,0.02664615,-0.02781192,0.5876254
14.2,0.2,0.374001,0.02277554,-0.02702913,0.7094962
14.4,0.2,0.4756043,0.0185206,-0.02569684,0.7983846
14.6,0.2,0.5647353,0.01399502,-0.02383839,0.8668132
14.8,0.2,0.6399414,0.00931532,-0.02149322,0.9266407
15.0,0.2,0.700199,0.004595482,-0.0187171,0.9844733
15.2,0.2,0.7449402,-5.795499e-05,-0.01558104,1.039375
15.4,0.2,0.7740595,-0.00455011,-0.01216885,1.083725
15.6,0.2,0.7878964,-0.008800861,-0.008573654,1.106806
15.8,0.2,0.7871937,-0.01274659,-0.004893705,1.099596
16.0,0.2,0.7730318,-0.01634048,-0.001227894,1.058754
16.2,0.2,0.7467435,-0.01955139,0.002328572,0.9881514
16.4,0.2,0.7098183,-0.02236163,0.005688061,0.897302
16.6,0.2,0.6638049,-0.02476387,0.008773759,0.7974054
