t,Delta_t,x_wf,y_wf,z_wf,phi_wf,psi_wf,theta_wf,zeta
[s],[s],[m],[m],[m],[rad],[rad],[rad],[m]
0.0,0.2,0.01489775,-0.0095409,0.1759919,0.003363759,0.002515482,-0.004971148,-1.095994
0.2,0.2,0.0283424,-0.01398513,0.1385354,0.004298552,0.002064707,-0.004642786,-1.06958
0.4,0.2,0.04113736,-0.01858905,0.1007681,0.005050778,0.001550372,-0.004218978,-0.9034495
0.6,0.2,0.05295672,-0.02332252,0.06456253,0.005582947,0.0009902359,-0.003750839,-0.6438053
0.8,0.2,0.06349026,-0.02807702,0.03154016,0.005867521,0.0004042885,-0.003287798,-0.3628152
1.0,0.2,0.07245425,-0.03266771,0.002978312,0.005890715,-0.0001853693,-0.002874076,-0.1247548
1.2,0.2,0.07960352,-0.03685005,-0.0202589,0.005655112,-0.0007551288,-0.002545457,0.04285397
1.4,0.2,0.08474399,-0.04034887,-0.0377595,0.005180448,-0.001280995,-0.002326712,0.1586785
1.6,0.2,0.08774402,-0.04289515,-0.04956825,0.004502333,-0.001740127,-0.002229963,0.2730677
1.8,0.2,0.08854292,-0.04426379,-0.0561566,0.003669047,-0.002112574,-0.002254159,0.43746
2.0,0.2,0.08715498,-0.04430514,-0.0583615,0.002736983,-0.002382887,-0.002385655,0.673875
2.2,0.2,0.08366795,-0.04296439,-0.05729913,0.001765498,-0.002541329,-0.002599734,0.9604392
2.4,0.2,0.0782361,-0.04028537,-0.05426111,0.0008120052,-0.002584454,-0.002862856,1.240221
2.6,0.2,0.07106889,-0.03639923,-0.05060112,-7.205594e-05,-0.002515022,-0.003135352,1.448142
2.8,0.2,0.06241734,-0.03150165,-0.04761948,-0.0008440502,-0.00234134,-0.003374358,1.541128
3.0,0.2,0.05256038,-0.02582471,-0.04645313,-0.001471787,-0.002076247,-0.003536841,1.515234
3.2,0.2,0.04179293,-0.01960974,-0.04797824,-0.001934244,-0.001736011,-0.003582653,1.400897
3.4,0.2,0.0304166,-0.01308646,-0.05273282,-0.002221733,-0.001339333,-0.003477533,1.239801
3.6,0.2,0.01873264,-0.006460759,-0.06086656,-0.00233581,-0.0009065623,-0.003195971,1.05711
3.8,0.2,0.007035615,8.940991e-05,-0.0721238,-0.002289015,-0.0004590605,-0.002723743,0.8454335
4.0,0.2,-0.004393476,0.006412737,-0.08586316,-0.00210431,-1.859501e-05,-0.002059828,0.5702404
4.2,0.2,-0.01529596,0.01238169,-0.1011136,-0.001813951,0.0003934235,-0.001217396,0.1942348
4.4,0.2,-0.02544584,0.01789105,-0.116662,-0.001457481,0.0007569659,-0.0002235694,-0.2927769
4.6,0.2,-0.03466041,0.02285905,-0.1311636,-0.0010787,0.001054669,0.0008821744,-0.8555946
4.8,0.2,-0.04280872,0.02723027,-0.1432632,-0.0007217225,0.001273239,0.002050894,-1.41803
5.0,0.2,-0.04981542,0.0309779,-0.1517134,-0.0004264893,0.001404733,0.003228056,-1.888873
5.2,0.2,-0.05565798,0.03410238,-0.155479,-0.0002243862,0.001447419,0.004357885,-2.196443
5.4,0.2,-0.06035709,0.03662454,-0.153816,-0.0001346684,0.001405998,0.00538759,-2.313963
5.6,0.2,-0.06396123,0.03857315,-0.1463216,-0.0001623556,0.00129105,0.006270913,-2.262898
5.8,0.2,-0.06652839,0.03996893,-0.1329513,-0.000298023,0.001117747,0.006970627,-2.093395
6.0,0.2,-0.06810831,0.0408087,-0.1140055,-0.0005195848,0.0009040282,0.007459834,-1.853336
6.2,0.2,-0.06872883,0.04105406,-0.09009129,-0.0007957949,0.0006685428,0.007722189,-1.56347
