t  [s],z_wf_1  [m]
0,0.4337722
0.2,0.2372881
0.4,0.03264875
0.6,-0.1742133
0.8,-0.377338
1,-0.5709391
1.2,-0.7495987
1.4,-0.9084416
1.6,-1.043276
1.8,-1.150696
2,-1.228145
2.2,-1.273941
2.4,-1.287285
2.6,-1.268244
2.8,-1.217727
3,-1.137446
3.2,-1.02986
3.4,-0.8980985
3.6,-0.7458639
3.8,-0.5773113
4,-0.3969148
4.2,-0.2093278
4.4,-0.01924494
4.6,0.1687284
4.8,0.350197
5,0.5210862
5.2,0.6777408
5.4,0.8170114
5.6,0.9363225
5.8,1.033717
6,1.10787
6.2,1.158076
6.4,1.184199
6.6,1.186614
6.8,1.166125
7,1.123898
7.2,1.061396
7.4,0.980331
7.6,0.8826284
7.8,0.7703965
8,0.6458991
8.2,0.5115239
8.4,0.3697474
8.6,0.2230981
8.8,0.07412275
9,-0.07464186
9.2,-0.2206904
9.4,-0.3615666
9.6,-0.494882
9.8,-0.6183423
10,-0.7297845
10.2,-0.8272264
10.4,-0.908923
10.6,-0.9734245
10.8,-1.019626
11,-1.0468
11.2,-1.054615
11.4,-1.043129
11.6,-1.012772
11.8,-0.9643252
12,-0.8988895
12.2,-0.817867
12.4,-0.7229409
12.6,-0.6160595
12.8,-0.4994158
13,-0.3754187
13.2,-0.246652
13.4,-0.1158182
13.6,0.0143292
13.8,0.1410632
14,0.2617644
14.2,0.374001
14.4,0.4756043
14.6,0.5647353
14.8,0.6399414
15,0.700199
15.2,0.7449402
15.4,0.7740595
15.6,0.7878964
15.8,0.7871937
16,0.7730318
16.2,0.7467435
16.4,0.7098183
16.6,0.6638049
16.8,0.6102232
17,0.5504939
17.2,0.4858901
17.4,0.4175145
17.6,0.3462987
17.8,0.2730226
18,0.1983491
18.2,0.1228693
18.4,0.04715479
18.6,-0.02818686
18.8,-0.1024575
19,-0.1748206
19.2,-0.2442666
19.4,-0.3095983
19.6,-0.3694435
19.8,-0.4222988
20,-0.4666057
20.2,-0.5008541
20.4,-0.5237054
20.6,-0.5341211
20.8,-0.5314819
21,-0.5156823
21.2,-0.4871877
21.4,-0.4470451
21.6,-0.3968443
21.8,-0.3386331
22,-0.2747948
22.2,-0.2078994
22.4,-0.1405466
22.6,-0.07521258
22.8,-0.01411804
23,0.0408734
23.2,0.08831898
23.4,0.1272214
23.6,0.1570175
23.8,0.1775384
24,0.1889502
24.2,0.1916874
24.4,0.1863859
24.6,0.173825
24.8,0.1548813
25,0.1304964
25.2,0.1016579
25.4,0.06939117
25.6,0.03475902
25.8,-0.001132634
26,-0.03712767
26.2,-0.07201378
26.4,-0.1045221
26.6,-0.1333365
26.8,-0.157117
27,-0.1745397
27.2,-0.1843539
27.4,-0.185454
27.6,-0.1769604
27.8,-0.1583012
28,-0.1292845
28.2,-0.09015364
28.4,-0.04161667
28.6,0.01515276
28.8,0.07854382
29,0.1465633
29.2,0.2169117
29.4,0.2870752
29.6,0.3544266
29.8,0.4163316
30,0.4702553
30.2,0.5138651
30.4,0.5451271
30.6,0.562391
30.8,0.5644599
31,0.5506414
31.2,0.5207766
31.4,0.475246
31.6,0.4149518
31.8,0.3412808
32,0.2560476
32.2,0.161426
32.4,0.05986876
32.6,-0.04597714
32.8,-0.1533598
33,-0.2595103
33.2,-0.3617275
33.4,-0.4574549
33.6,-0.5443476
33.8,-0.6203245
34,-0.6836062
34.2,-0.7327367
34.4,-0.7665912
34.6,-0.7843741
34.8,-0.7856101
35,-0.7701343
35.2,-0.7380843
35.4,-0.6898988
35.6,-0.6263222
35.8,-0.5484154
36,-0.45757
36.2,-0.3555209
36.4,-0.2443524
36.6,-0.1264908
36.8,-0.004678567
37,0.1180766
37.2,0.2385775
37.4,0.3535402
37.6,0.4597179
37.8,0.5540399
38,0.6337555
38.2,0.6965718
38.4,0.7407725
38.6,0.7653095
38.8,0.7698576
39,0.7548288
39.2,0.7213455
39.4,0.6711759
39.6,0.6066367
39.8,0.530472
40,0.4457153
40.2,0.3555456
40.4,0.2631439
40.6,0.1715576
40.8,0.08357941
41,0.001645274
41.2,-0.07224675
41.4,-0.1365931
41.6,-0.1904173
41.8,-0.2332771
42,-0.2652491
42.2,-0.2868891
42.4,-0.2991722
42.6,-0.3034137
42.8,-0.3011751
43,-0.2941601
43.2,-0.2841064
43.4,-0.2726819
43.6,-0.2613914
43.8,-0.2515012
44,-0.2439859
44.2,-0.2394982
44.4,-0.2383605
44.6,-0.2405747
44.8,-0.2458448
45,-0.2536054
45.2,-0.2630546
45.4,-0.2731867
45.6,-0.2828274
45.8,-0.2906723
46,-0.2953322
46.2,-0.2953872
46.4,-0.2894524
46.6,-0.2762508
46.8,-0.254694
47,-0.2239621
47.2,-0.1835788
47.4,-0.1334758
47.6,-0.07403856
47.8,-0.006131665
48,0.06890168
48.2,0.1492671
48.4,0.2327737
48.6,0.3169151
48.8,0.3989716
49,0.4761288
49.2,0.5456051
49.4,0.6047776
49.6,0.6513006
49.8,0.6832071
50,0.6989915
50.2,0.6976699
50.4,0.6788184
50.6,0.6426134
50.8,0.5897775
51,0.5215956
51.2,0.4398851
51.4,0.3469249
51.6,0.2453672
51.8,0.1381251
52,0.02824209
52.2,-0.08124809
52.4,-0.1874555
52.6,-0.2877498
52.8,-0.3798462
53,-0.4618547
53.2,-0.532294
53.4,-0.590076
53.6,-0.634472
53.8,-0.6650709
54,-0.6817421
54.2,-0.684606
54.4,-0.674016
54.6,-0.650548
54.8,-0.6149935
55,-0.568351
55.2,-0.5118118
55.4,-0.4467402
55.6,-0.3746482
55.8,-0.2971667
56,-0.216017
56.2,-0.1329804
56.4,-0.04986815
56.6,0.03151252
56.8,0.1093983
57,0.1821177
57.2,0.2481471
57.4,0.3061724
57.6,0.3551515
57.8,0.3943715
58,0.4234919
58.2,0.4425681
58.4,0.4520504
58.6,0.4527543
58.8,0.4458056
59,0.4325613
59.2,0.4145146
59.4,0.3931902
59.6,0.3700409
59.8,0.3463509
60,0.3231545
60.2,0.3011735
60.4,0.2807764
60.6,0.2619599
60.8,0.2443518
61,0.2272344
61.2,0.2095885
61.4,0.1901571
61.6,0.1675283
61.8,0.1402385
62,0.1068905
62.2,0.06628464
62.4,0.01755155
62.6,-0.03972091
62.8,-0.1053805
63,-0.178634
63.2,-0.2580115
63.4,-0.3413789
63.6,-0.4260003
63.8,-0.5086507
64,-0.5857715
64.2,-0.6536605
64.4,-0.7086828
64.6,-0.7474891
64.8,-0.7672248
65,-0.7657154
65.2,-0.741615
65.4,-0.6945071
65.6,-0.6249514
65.8,-0.5344747
66,-0.4255062
66.2,-0.3012654
66.4,-0.1656096
66.6,-0.02285568
66.8,0.1224143
67,0.2655476
67.2,0.4020067
67.4,0.5275386
67.6,0.6383221
67.8,0.7310927
68,0.8032449
68.2,0.8529112
68.4,0.879018
68.6,0.8813122
68.8,0.860357
69,0.8174889
69.2,0.7547363
69.4,0.6747
69.6,0.5804059
69.8,0.4751389
70,0.3622762
70.2,0.2451325
70.4,0.1268312
70.6,0.01020735
70.8,-0.102255
71,-0.2084525
71.2,-0.3066656
71.4,-0.3955403
71.6,-0.4740538
71.8,-0.5414688
72,-0.5972801
72.2,-0.6411581
72.4,-0.6728924
72.6,-0.6923432
72.8,-0.6994065
73,-0.6939976
73.2,-0.676058
73.4,-0.6455845
73.6,-0.6026767
73.8,-0.5475972
74,-0.48083360000000003
74.2,-0.4031546
74.4,-0.3156517
74.6,-0.2197611
74.8,-0.1172616
75,-0.01025089
75.2,0.09890057
75.4,0.2076131
75.6,0.3131756
75.8,0.4128332
76,0.5038807
76.2,0.5837568
76.4,0.6501366
76.6,0.7010161
76.8,0.7347876
77,0.7503003
77.2,0.7469067
77.4,0.7244912
77.6,0.6834805
77.8,0.6248376
78,0.5500362
78.2,0.4610191
78.4,0.3601393
78.6,0.2500859
78.8,0.1337963
79,0.01435781
79.2,-0.1050956
